parent_id,id,remote_id,path_string,keyword_it,keyword_de,keyword_pa,keyword_en,synonyms_it,synonyms_de,synonyms_pa,synonyms_en,description_it,description_de,description_en,hash
0,1,766cbf278451d07c053f59cbf0e5654d,/20/,Dataset,Datensatz,,Dataset,,,,,,,,
1,2,75c5d53178d2a376f837a465043ec818,/20/21/,"Frequenza aggiornamento",Aktualisierungsfrequenz,,"Update frequency",,,,,,,,
2,3,514a1529215aa74be1b51990045c1f87,/20/21/22/,Annuale,Jährlich,,annual,,,,,,,,
2,4,efa7622bbf070770193f0b2dfdc603a6,/20/21/23/,Mensile,Monatlich,,monthly,,,,,,,,
2,5,b9d7af7b3ef28199592d73601eda0658,/20/21/24/,Settimanale,Wöchentlich,,Weekly,,,,,,,,
2,6,5d29c434af9ee30f6c6473d962c63e59,/20/21/25/,Quotidiano,Täglich,,Daily,,,,,,,,
2,7,229d57bb64922ee97f67272ee525ae78,/20/21/26/,"Non viene aggiornato (mai)","Nicht aktualisiert (nie)",,"It is not updated (ever)",,,,,,,,
2,8,a8c56004cd34f3fa382f4a43ed84ed49,/20/21/27/,"Non definito","Nicht definiert",,Undefined,,,,,,,,
2,9,d379d93de76eaa2ffedf66f383aa823d,/20/21/28/,"Costantemente aggiornato","Wird laufend aktualisiert",,"Constantly updated",,,,,,,,
2,10,df9514ea5008e32f79d1ab0633e2b683,/20/21/29/,"Ogni ora","Jede Stunde",,Hourly,,,,,,,,
2,11,3f171db18a4d6ea9863ff6b7d5347ac6,/20/21/30/,"Ogni due ore","Alle zwei Stunden",,"Every 2 hours",,,,,,,,
2,12,2a6278e0fdb37eccde7c2d763e9c4756,/20/21/31/,"Ogni 3 ore","Alle 3 Stunden",,"Every 3 hours",,,,,,,,
1,13,cdeb5b429a76f3ad4a4d968603279c9a,/20/32/,"Standard di conformità",Konformitätsstandards,,"Compliance standards",,,,,,,,
13,14,6a03955e34669f5814f123f3ad84b5ad,/20/32/33/,SKOS,SKOS,,SKOS,,,,,,,,
