parent_id,id,remote_id,path_string,keyword_it,keyword_de,keyword_pa,keyword_en,synonyms_it,synonyms_de,synonyms_pa,synonyms_en,description_it,description_de,description_en,hash
0,1,a8af5a6c5a02d72698cb40753127e244,/891/,Organizzazione,Organisation,,,,,,,,,,
1,2,025658acdbc02a2360abb936803cd491,/891/1090/,COFOG,COFOG,,,,,,,,,,
2,3,30e1105e00c644ded54d6fad5147aaeb,/891/1090/1091/,Malattia,,,,"10.1.1 - Malattia",,,,,,,
2,4,53b5048a6abc0cb44e1c756650618e0f,/891/1090/1092/,Invalidità,,,,"10.1.2 - Invalidità",,,,,,,
2,5,6637a3a9f8a565841d37f18f5b6579c6,/891/1090/1093/,Vecchiaia,,,,"10.2.1 - Vecchiaia",,,,,,,
2,6,f5f5b507a451023b462d15df96b6dc74,/891/1090/1094/,Superstiti,,,,"10.3.1 - Superstiti",,,,,,,
2,7,1898c7770aa187c22b07f21d9b94f4f3,/891/1090/1095/,Famiglia,,,,"10.4.1 - Famiglia",,,,,,,
2,8,5ce14aabd60d9684285afd5e88d379b2,/891/1090/1096/,Disoccupazione,,,,"10.5.1 - Disoccupazione",,,,,,,
2,9,3c92ff0b386e4126444cfb6818412f27,/891/1090/1097/,Abitazioni,,,,"10.6.1 - Abitazioni",,,,,,,
2,10,1a17e217c7f3f76463cc4cee348a585b,/891/1090/1098/,"Esclusione sociale non altrove classificata",,,,"10.7.1 - Esclusione sociale non altrove classificata",,,,,,,
2,11,a45ff4d46b33348ce44b414c21b4d47e,/891/1090/1099/,"Ricerca & Sviluppo per la protezione sociale",,,,"10.8.1 - Ricerca & Sviluppo per la protezione sociale",,,,,,,
2,12,afbb47f5383a77f9f5dd98ded2aa7503,/891/1090/1100/,"Protezione sociale non altrove classificata",,,,"10.9.1 - Protezione sociale non altrove classificata",,,,,,,
2,13,3be1bfefaea11e6c63a9f4600b3654dd,/891/1090/1101/,"Organi esecutivi e legislativi",,,,"01.1.1 - Organi esecutivi e legislativi",,,,,,,
2,14,1443648c322380b42e374da39817a94c,/891/1090/1102/,"Affari finanziari e fiscali",,,,"01.1.2 - Affari finanziari e fiscali",,,,,,,
2,15,965e4f470256fc86a4922e260bea9110,/891/1090/1103/,"Affari esteri",,,,"01.1.3 - Affari esteri",,,,,,,
2,16,15c045541dd12634b0f09394d225dbfa,/891/1090/1104/,"Aiuti economici ai paesi in via di sviluppo ed in transizione",,,,"01.2.1 - Aiuti economici ai paesi in via di sviluppo ed in transizione",,,,,,,
2,17,1ef3b3a027115ece07da99a8e1ded67c,/891/1090/1105/,"Aiuti economici erogati attraverso organismi internazionali",,,,"01.2.2 - Aiuti economici erogati attraverso organismi internazionali",,,,,,,
2,18,5de05959983d2a88b821fbc7fec237f6,/891/1090/1106/,"Servizi generali del personale",,,,"01.3.1 - Servizi generali del personale",,,,,,,
2,19,aa21fe8c6d6ce6dd6571f917697fc528,/891/1090/1107/,"Servizi di programmazione",,,,"01.3.2 - Servizi di programmazione",,,,,,,
2,20,14e5c308c88927abfc8f39a305083e0c,/891/1090/1108/,"Servizi statistici",,,,"01.3.3 - Servizi statistici",,,,,,,
2,21,522a2f33dd10a1b41981c2b05c20bd35,/891/1090/1109/,"Altri servizi",,,,"01.3.4 - Altri servizi",,,,,,,
2,22,d5bc9a594555d030782d7c7ce30503ff,/891/1090/1110/,"Ricerca di base",,,,"01.4.1 - Ricerca di base",,,,,,,
2,23,c23730d6839d056144c6a95590d91ec1,/891/1090/1111/,"Ricerca & Sviluppo per i servizi pubblici generali",,,,"01.5.1 - Ricerca & Sviluppo per i servizi pubblici generali",,,,,,,
2,24,41d264a2e9d991310fa36d4778a0e4e3,/891/1090/1112/,"Servizi pubblici generali non altrove classificati",,,,"01.6.1 - Servizi pubblici generali non altrove classificati",,,,,,,
2,25,c8a4678ed1991ec15681bafd746b0393,/891/1090/1113/,"Transazioni relative al debito pubblico",,,,"01.7.1 - Transazioni relative al debito pubblico",,,,,,,
2,26,913d3f3e92bbf46b7f0b2226909a6632,/891/1090/1114/,"Trasferimenti a carattere generale tra diversi livelli di amministrazione",,,,"01.8.1 - Trasferimenti a carattere generale tra diversi livelli di amministrazione",,,,,,,
